days	firstversion	lastversion	file_name	classification
635	v2.6.37	v3.6	arch/arm/plat-mxc/include/mach/mx51.h	MissingDead
635	v2.6.37	v3.6	arch/mips/mti-malta/malta-setup.c	MissingDead
635	v2.6.37	v3.6	arch/um/include/asm/page.h	MissingDead
635	v2.6.37	v3.6	arch/arm/mach-at91/at91sam9263_devices.c	MissingDead
635	v2.6.37	v3.6	arch/mips/mti-malta/malta-setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/sibyte/bcm1480/irq.c	MissingDead
635	v2.6.37	v3.6	arch/mips/sibyte/bcm1480/irq.c	MissingDead
635	v2.6.37	v3.6	arch/arm/boot/compressed/head.S	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/ath/ath5k/ath5k.h	MissingUndead
566	v2.6.38	v3.6	drivers/usb/musb/tusb6010.h	MissingUndead
566	v2.6.38	v3.6	arch/blackfin/mach-bf537/boards/dnp5370.c	MissingUndead
566	v2.6.38	v3.6	arch/blackfin/mach-bf537/boards/dnp5370.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/ath/ath5k/ath5k.h	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/ath/ath5k/base.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/ath/ath5k/base.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	kernel/irq/manage.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/ath/ath5k/led.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/rt2x00/rt2800pci.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/bfin_sport_uart.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/crisv10.c	MissingDead
566	v2.6.38	v3.6	drivers/tty/serial/crisv10.c	MissingDead
566	v2.6.38	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/rt2x00/rt2800pci.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/rt2x00/rt2800pci.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/rt2x00/rt2800pci.c	MissingDead
566	v2.6.38	v3.6	drivers/net/wireless/rt2x00/rt2800pci.c	MissingDead
566	v2.6.38	v3.6	arch/arm/mach-omap2/board-am3517evm.c	MissingDead
566	v2.6.38	v3.6	drivers/usb/musb/tusb6010.h	MissingDead
